,Cl,Equipe,MP,V,E,D,GP,GC,GD,Pt,Pts/PPJ,xG,xGA,xGD,xGD/90,Público,Artilheiro da equipe,Goleiro,Notas
0,1,Palmeiras,38,20,10,8,64,33,31,70,184,57.2,39.3,17.9,47,28.676,Endrick - 11,Wéverton,
1,2,Grêmio,38,21,5,12,63,56,7,68,179,50.0,55.3,-5.3,-14,27.11,Luis Suárez - 17,Gabriel Chapecó,
2,3,Atlético Mineiro,38,19,9,10,52,32,20,66,174,46.6,40.8,5.8,15,22.119,Paulinho - 20,Éverson,
3,4,Flamengo,38,19,9,10,56,42,14,66,174,49.8,45.1,4.7,12,45.274,Pedro - 13,Matheus Cunha,
4,5,Botafogo (RJ),38,18,10,10,58,37,21,64,168,50.1,48.8,1.3,3,26.477,Tiquinho Soares - 17,Lucas Perri,
5,6,Bragantino,38,17,11,10,49,35,14,62,163,57.8,42.6,15.2,40,3.945,Eduardo Sasha - 11,Cleiton Schwengber,
6,7,Fluminense,38,16,8,14,51,47,4,56,147,50.3,48.3,2.0,5,29.447,Germán Cano - 10,Fábio,
7,8,Ath Paranaense,38,14,14,10,51,43,8,56,147,51.1,46.6,4.5,12,15.493,Vitor Roque - 12,Bento,
8,9,Internacional,38,15,10,13,46,45,1,55,145,42.1,47.1,-5.0,-13,16.584,Enner Valencia - 9,Sergio Rochet,
9,10,Fortaleza,38,15,9,14,45,44,1,54,142,51.5,43.8,7.7,20,26.656,Juan Martín Lucero - 9,João Ricardo Riedi,
10,11,São Paulo,38,14,11,13,40,38,2,53,139,49.0,36.6,12.4,33,34.051,"Luciano, Jonathan Calleri - 9",Rafael Pires,
11,12,Cuiabá,38,14,9,15,40,39,1,51,134,38.6,42.2,-3.6,-9,10.18,Deyverson - 12,Walter,
12,13,Corinthians,38,12,14,12,47,48,-1,50,132,40.4,49.4,-9.0,-24,26.588,"Ángel Romero, Yuri Alberto - 8",Cássio,
13,14,Cruzeiro,38,11,14,13,35,32,3,47,124,47.8,41.7,6.0,16,22.428,Bruno Nascimento - 8,Rafael Cabral,
14,15,Vasco da Gama,38,12,9,17,41,51,-10,45,118,47.7,46.2,1.5,4,17.469,Pablo Vegetti - 10,Léo Jardim,
15,16,Bahia,38,12,8,18,50,53,-3,44,116,50.6,51.2,-0.6,-2,33.378,Everaldo Stum - 9,Marcos Felipe,
16,17,Santos,38,11,10,17,39,64,-25,43,113,42.4,51.1,-8.7,-23,6.132,Marcos Leonardo - 13,João Paulo,Rebaixado
17,18,Goiás,38,9,11,18,36,53,-17,38,100,36.5,45.9,-9.4,-25,9.49,Guilherme - 6,Tadeu,Rebaixado
18,19,Coritiba,38,8,6,24,41,73,-32,30,79,39.3,60.8,-21.6,-57,17.582,Robson - 12,Gabriel,Rebaixado
19,20,América (MG),38,5,9,24,42,81,-39,24,63,46.9,62.8,-15.9,-42,3.293,Gonzalo Mastriani - 11,Matheus Cavichioli,Rebaixado
